name,url,group,stars,forks,open_issues,language,archived,created_at,pushed_at,description,fetch_status,commit,feature_file_count,has_workflows
Max1irst/Playwright-cucumber-TS,https://github.com/Max1irst/Playwright-cucumber-TS,nodejs,2,0,0,TypeScript,False,2023-11-09T15:53:32Z,2023-12-12T14:09:42Z,Automation tests for sweet-shop-app-react,200,c8cd7dbda69ae703f187fddc48082eeaecb72bdd,4,False
PunnNopdanai7/cucumber-playwright-workshop,https://github.com/PunnNopdanai7/cucumber-playwright-workshop,nodejs,2,0,0,TypeScript,False,2025-03-11T12:32:15Z,2025-03-16T10:32:01Z,,200,74eb18e5f7377fac015e00b9fbb7effc4424b0b1,3,False
VigneshSrinivasaRaghavan/TestTribe_Playwright_Cucumber_Workshop_Mar2025,https://github.com/VigneshSrinivasaRaghavan/TestTribe_Playwright_Cucumber_Workshop_Mar2025,nodejs,2,1,0,TypeScript,False,2025-03-07T18:06:01Z,2025-03-29T15:05:38Z,This project created as part of Playwright TS workshop took as part of TestTribe for March 2025 Batch,200,cbe2aecaf03b26ab1e3ba1227f90b63af0352195,2,False
Zstefanov/AE-Automation-TS-Playwright,https://github.com/Zstefanov/AE-Automation-TS-Playwright,nodejs,2,0,0,TypeScript,False,2025-06-19T21:13:25Z,2025-07-26T17:14:50Z,PW/TS/Cucumber Automation Project.,cache,b74f2d4b44cf013e021ef273a05cfe3d52b68472,25,True
abdelnaby1/fwd_project,https://github.com/abdelnaby1/fwd_project,nodejs,2,1,0,TypeScript,False,2022-12-30T17:56:01Z,2023-01-02T21:01:47Z,"test automation project using playwright, cucumber and typescript",200,a86d29e336890acd63925c78624418117d84dbd6,8,False
ahxansubhani/playwright-automation-framwork-BDD,https://github.com/ahxansubhani/playwright-automation-framwork-BDD,nodejs,2,0,0,TypeScript,False,2024-02-28T14:42:48Z,2024-06-26T13:09:50Z,Playwright -BDD Framework (Cucumber),cache,b24cabc47e29e473de503bc90fe43e297793f4cc,1,True
dakotaJang/cucumber-playwright-typescript-starter,https://github.com/dakotaJang/cucumber-playwright-typescript-starter,nodejs,2,1,0,TypeScript,False,2022-01-19T09:54:02Z,2022-01-19T09:54:33Z,,200,99c53e8bd4325c49457fea6258ab850a5ae0e82f,1,False
dntthuan064/playwright-bdd-project,https://github.com/dntthuan064/playwright-bdd-project,nodejs,2,0,5,TypeScript,False,2025-06-06T11:18:09Z,2025-10-28T16:15:50Z,# Playwright with Cucumber using Playwright-bdd,cache,8fd75353fa0cfaf0c508b791361541e4af29db70,1,True
feeroz123/ES_Playwright_Demo,https://github.com/feeroz123/ES_Playwright_Demo,nodejs,2,0,0,TypeScript,False,2025-07-01T08:24:04Z,2025-10-16T13:06:37Z,"This is a test automation framework built with Playwright, Cucumber, and TypeScript, supporting both local and BrowserStack execution.",200,d8363663fa002dc26e3fb4370616b19077a50db9,3,False
generalui/getting-started-with-bdd,https://github.com/generalui/getting-started-with-bdd,nodejs,2,0,0,TypeScript,False,2023-04-12T21:26:47Z,2023-04-12T21:27:21Z,A small project that contains the initial integration of Playwright and Cucumber IO into a NextJS project,cache,ab13d942ce6bb07e449fe75038aa41cf15b1ab0b,1,True
grandEL-dsouza/playwright-cucumber-test-for-browserstack,https://github.com/grandEL-dsouza/playwright-cucumber-test-for-browserstack,nodejs,2,0,1,JavaScript,False,2023-07-14T08:18:00Z,2023-07-28T10:52:40Z,This is a sample code written by GrandEL for running playwright test with cucumber and javascript on Browserstack. All one needs to do is clone this repository and add their credentials in the config file and code and simply run the test. ,200,ae84d25d17ce5444bc73c134c724810fc24f5d8c,1,False
ilya-skapchuk/cucumber-playwright-test-typescript,https://github.com/ilya-skapchuk/cucumber-playwright-test-typescript,nodejs,2,0,0,TypeScript,False,2023-03-04T20:57:29Z,2023-03-08T12:18:51Z,,cache,736ace56daa446bd4fc9a1179a22e473389bd63d,1,True
